metricType,values,author.id,author.name
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 9, 'percentage': 100.0}]",36678774900,"Gautam, Vini"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 3, 'percentage': 10.0}, {'collabType': 'No academic-corporate collaboration', 'value': 27, 'percentage': 90.0}]",12774483500,"Cockburn, Ian A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 22, 'percentage': 100.0}]",6701682753,"Casarotto, Marco G."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]",55584088400,"Honnuraiah, Suraj"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",6507865503,"Domaschenz, Renae"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 95.0}]",56271023800,"Fernando, Nilisha"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 5, 'percentage': 100.0}]",7402664076,"James, Andrew Charles"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",57197314948,"Ryan, Daniel P."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]",7102453029,"Stuart, Greg J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",57196023637,"Khanna, Mayank"
